#Procedure: <SS9Procedure.SS9Procedure>,,,,,,,,,,
#Parameters:,,,,,,,,,,
"#	Maximum Temp.: 300 K",,,,,,,,,,
"#	Delay Time: 1 s",,,,,,,,,,
"#	Field Strength: 0 T",,,,,,,,,,
"#	MM1 Address: USB0::0x05E6::0x2110::1421999::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM2 Address: USB0::0x05E6::0x2110::8015516::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM3 Address: USB0::0x05E6::0x2110::1421483::INSTR",,,,,,,,,,
"#	Voltage: False",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	MM4 Adress: USB0::0x05E6::0x2110::1422148::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	Number of Averages: 1",,,,,,,,,,
"#	Your Name: connor",,,,,,,,,,
#Data:,,,,,,,,,,
elapsed_time,T,T_err,MM1_reading,MM1_error,MM2_reading,MM2_error,MM3_reading,MM3_error,MM4_reading,MM4_error
163.9426718,159.3296967,0,0.215477555,0,0.205348163,0,0.020744169,0,-0.000101054,0
165.6312852,159.3296967,0,0.215434208,0,0.205312669,0,0.020742955,0,-5.36E-05,0
167.3529375,159.3140564,0,0.215402811,0,0.205315753,0,0.020744482,0,-4.24E-05,0
169.081965,159.3140564,0,0.215338796,0,0.205219775,0,0.020740246,0,6.92E-05,0
170.767452,159.3036346,0,0.215331122,0,0.205214768,0,0.020740261,0,5.94E-05,0
172.4538343,159.2984161,0,0.21530874,0,0.205213055,0,0.020741208,0,6.95E-05,0
174.1409888,159.2879791,0,0.21527408,0,0.205175235,0,0.020742767,0,6.88E-05,0
175.8288093,159.2931976,0,0.215263664,0,0.205151557,0,0.020741601,0,5.98E-05,0
177.5140367,159.2879791,0,0.215213835,0,0.205127343,0,0.020740394,0,6.49E-05,0
179.2007022,159.2879791,0,0.215190872,0,0.205101504,0,0.020740792,0,-8.32E-05,0
180.8919578,159.2775574,0,0.215199336,0,0.205104917,0,0.020741394,0,-6.17E-05,0
182.6209724,159.2723389,0,0.215178906,0,0.205083712,0,0.020741971,0,-4.24E-05,0
184.3435798,159.2775574,0,0.215125456,0,0.205027982,0,0.020739902,0,6.47E-05,0
186.0299404,159.2568512,0,0.215127423,0,0.205021828,0,0.02074169,0,6.67E-05,0
187.716177,159.2464294,0,0.215114742,0,0.205010339,0,0.020741062,0,6.51E-05,0
189.4085307,159.2464294,0,0.215056583,0,0.204976066,0,0.020739667,0,6.85E-05,0
191.0977468,159.2307739,0,0.21503669,0,0.204969361,0,0.020742677,0,5.98E-05,0
192.8092253,159.2203369,0,0.21501711,0,0.204926446,0,0.02074153,0,5.59E-05,0
194.4972153,159.2203369,0,0.21503745,0,0.204908683,0,0.02074297,0,6.10E-05,0
196.1826761,159.2931976,0,0.214988067,0,0.204908892,0,0.020742616,0,-0.000116834,0
197.8786018,159.2672882,0,0.214950785,0,0.20486702,0,0.020742156,0,-5.05E-05,0
199.6004965,159.2984161,0,0.215012088,0,0.204887941,0,0.020746486,0,-4.96E-05,0
201.3174098,159.3557739,0,0.214925348,0,0.204859733,0,0.020744242,0,-6.79E-05,0
203.0750039,159.4131165,0,0.214934587,0,0.204837322,0,0.020745073,0,6.49E-05,0
204.7628584,159.4548035,0,0.214894473,0,0.204834476,0,0.020745736,0,5.67E-05,0
206.4493356,159.4808502,0,0.214903831,0,0.204829156,0,0.020746624,0,6.51E-05,0
208.1361952,159.5016937,0,0.214846432,0,0.204792395,0,0.020745307,0,6.66E-05,0
209.8241684,159.491272,0,0.214834898,0,0.204760566,0,0.020745486,0,6.93E-05,0
211.5110371,159.4964905,0,0.214819684,0,0.204748779,0,0.0207472,0,6.17E-05,0
213.1979568,159.4860687,0,0.214786276,0,0.204721376,0,0.020744603,0,-9.90E-05,0
214.8939116,159.491272,0,0.214779719,0,0.204699292,0,0.020744642,0,-6.89E-05,0
216.6181395,159.4652252,0,0.214745938,0,0.204646721,0,0.020743983,0,-3.77E-05,0
218.3521614,159.4652252,0,0.214717894,0,0.204660743,0,0.020743197,0,-5.58E-05,0
220.0942535,159.4443817,0,0.214684158,0,0.204627186,0,0.02074434,0,6.32E-05,0
221.7798653,159.43396,0,0.214680999,0,0.204621121,0,0.020744409,0,5.92E-05,0
223.4665153,159.4235382,0,0.21468015,0,0.204620078,0,0.02074551,0,6.42E-05,0
225.1530201,159.4235382,0,0.214667737,0,0.204564481,0,0.020745061,0,6.34E-05,0
226.8380778,159.4131165,0,0.21463555,0,0.204556718,0,0.020745585,0,5.85E-05,0
228.5243294,159.4078979,0,0.214626342,0,0.204537764,0,0.020746142,0,5.80E-05,0
230.2211893,159.4026794,0,0.214594811,0,0.204509362,0,0.020744363,0,-0.000115361,0
231.9182577,159.3870544,0,0.214587584,0,0.204515069,0,0.020747881,0,-5.45E-05,0
233.6414921,159.3818359,0,0.214540183,0,0.20448859,0,0.020745428,0,-5.09E-05,0
235.3705947,159.3766174,0,0.214477777,0,0.204443991,0,0.020742422,0,6.81E-05,0
237.0571463,159.3609772,0,0.214498758,0,0.204425245,0,0.020742888,0,6.32E-05,0
238.7441583,159.3401337,0,0.214460998,0,0.204426631,0,0.020744603,0,6.58E-05,0
240.4294114,159.3766174,0,0.214460313,0,0.204413563,0,0.020744106,0,6.53E-05,0
